epoch,training_loss,training_accuracy,training_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,learning_rate
1,0.6412908365804044,0.8047808764940239,0.7511932027586409,0.8548910057823816,0.5851393188854489,0.5549406133003856,0.0001
2,0.20651201288380314,0.9402390438247012,0.9120236087073561,0.6790296365355571,0.7523219814241486,0.6810889679715303,0.0001
3,0.12045794567105621,0.9561752988047809,0.9281261487247501,0.339807224834061,0.8606811145510835,0.7804116507092581,0.0001
4,0.06927076967959979,0.9767596281540505,0.9671093395954352,0.2846810892204489,0.8885448916408669,0.8107964428699662,0.0001
5,0.0717483207801107,0.9760956175298805,0.9616414704951115,0.17553790350752413,0.9318885448916409,0.870734385356078,0.0001
6,0.04300414272652046,0.9853917662682603,0.9756646774302431,0.09056686826234817,0.9721362229102167,0.9435600663773639,0.0001
7,0.03736032503020083,0.9893758300132802,0.9884353690698168,0.10634353241302763,0.9659442724458205,0.9305596120234402,0.0001
8,0.049544013225304016,0.9800796812749004,0.9728844624463062,0.12139583770566852,0.9535603715170279,0.9101902930764946,0.0001
9,0.039228940116684353,0.9860557768924303,0.9796379652388655,0.11889464490262694,0.9597523219814241,0.9259698581264691,5e-05
10,0.032938576139853515,0.9887118193891102,0.9803286491164235,0.09359988375915966,0.9752321981424149,0.9457350029639006,5e-05
11,0.02708816222826719,0.9913678618857902,0.9848037115724096,0.06730890074263121,0.9752321981424149,0.9457350029639006,5e-05
12,0.02531428588863467,0.9933598937583001,0.9899565403688785,0.08178340640513193,0.9721362229102167,0.939200585888031,5e-05
13,0.05147586927996889,0.9807436918990704,0.974707522794097,0.11615664384695637,0.9690402476780186,0.9328528728689114,5e-05
14,0.021412686631578214,0.9946879150066401,0.9922479462783772,0.08060144152391006,0.9721362229102167,0.939200585888031,2.5e-05
